,apr_folder,repair_time
0,tbar_0,0 days 00:29:59
1,nopol_1,0 days 00:31:38
2,simfix_0-need-rerun,0 days 00:17:18
3,dynamoth_1,0 days 00:05:46
4,simfix_1,0 days 00:12:09
5,tbar_0,0 days 02:27:25
6,simfix_0,0 days 02:27:23
7,nopol_1,0 days 00:56:24
8,dynamoth_1,0 days 00:45:14
9,tbar_0,0 days 00:00:52
10,simfix_0,0 days 00:10:49
11,nopol_1,0 days 00:08:03
12,dynamoth_1,0 days 00:01:05
13,simfix_2,0 days 04:04:34
14,tbar_0,0 days 00:08:37
15,simfix_0,0 days 00:12:14
16,nopol_1,0 days 01:37:28
17,dynamoth_1,0 days 00:05:24
18,nopol_2,0 days 00:01:32
19,nopol_3,0 days 00:00:26
20,nopol_2,0 days 00:07:40
21,nopol_3,0 days 00:26:34
22,tbar_0,0 days 02:01:29
23,simfix_0,0 days 02:24:31
24,nopol_1,0 days 00:24:33
25,simfix_2,0 days 05:11:23
26,dynamoth_1,0 days 00:18:56
27,tbar_0,0 days 02:00:46
28,simfix_0,0 days 02:07:35
29,nopol_1,0 days 00:07:23
30,dynamoth_1,0 days 00:00:17
31,tbar_0,0 days 02:02:46
32,simfix_0,0 days 02:03:46
33,nopol_1,0 days 00:36:21
34,dynamoth_1,0 days 00:23:16
35,tbar_0,0 days 02:03:54
36,simfix_0,0 days 01:51:34
37,nopol_1,0 days 00:01:58
38,dynamoth_1,0 days 00:00:18
39,tbar_1,0 days 00:04:02
40,tbar_2,0 days 04:08:04
41,nopol_2,0 days 00:05:15
42,nopol_3,0 days 01:03:42
43,tbar_1,0 days 00:02:03
44,simfix_2,0 days 03:53:53
45,tbar_2,0 days 04:21:58
46,tbar_1,0 days 00:00:16
47,tbar_0,0 days 02:04:00
48,simfix_0,0 days 02:01:37
49,nopol_1,0 days 00:07:22
50,dynamoth_1,0 days 00:00:14
51,simfix_1,0 days 01:16:58
52,nopol_2,0 days 00:04:56
53,nopol_3,0 days 01:16:45
54,simfix_1,0 days 01:48:46
55,simfix_1,0 days 01:18:19
56,tbar_0,0 days 02:00:55
57,simfix_0,0 days 03:42:46
58,nopol_1,0 days 02:19:47
59,dynamoth_1,0 days 00:41:20
60,tbar_0,0 days 02:02:15
61,simfix_0,0 days 02:16:44
62,nopol_1,0 days 00:16:30
63,dynamoth_1,0 days 00:04:36
64,simfix_1,0 days 03:32:25
65,tbar_1,0 days 00:02:56
66,simfix_1,0 days 01:51:24
67,tbar_0,0 days 02:31:14
68,simfix_0,0 days 02:01:51
69,nopol_1,0 days 00:07:22
70,simfix_2,0 days 04:49:26
71,dynamoth_1,0 days 00:00:21
72,tbar_0,0 days 02:04:02
73,simfix_0,0 days 02:00:32
74,nopol_1,0 days 00:07:05
75,dynamoth_1,0 days 00:00:17
76,tbar_1,0 days 00:00:44
77,tbar_2,0 days 05:04:00
78,nopol_2,0 days 00:04:42
79,nopol_3,0 days 00:01:14
80,tbar_1,0 days 00:00:21
81,tbar_2,0 days 04:56:06
82,nopol_2,0 days 00:01:49
83,nopol_3,0 days 00:33:00
84,simfix_2,0 days 06:00:18
85,simfix_1,0 days 04:34:44
86,simfix_1,0 days 03:05:14
87,dynamoth_2,0 days 00:00:27
88,dynamoth_1,0 days 00:30:22
89,dynamoth_3,0 days 00:00:25
90,simfix_1,0 days 00:54:04
91,tbar_0,0 days 02:04:19
92,simfix_0,0 days 00:15:46
93,nopol_1,0 days 00:01:27
94,dynamoth_1,0 days 00:00:25
95,tbar_0,0 days 00:36:56
96,simfix_0,0 days 00:03:43
97,nopol_1,0 days 00:02:36
98,dynamoth_1,0 days 00:01:08
99,tbar_0,0 days 02:03:26
100,simfix_0,0 days 02:03:47
101,nopol_1,0 days 00:37:08
102,dynamoth_1,0 days 00:44:09
103,tbar_0,0 days 02:07:42
104,simfix_0,0 days 02:01:02
105,nopol_1,0 days 00:26:50
106,dynamoth_1,0 days 00:38:28
107,tbar_0,0 days 02:00:20
108,simfix_0,0 days 02:11:56
109,nopol_1,0 days 00:37:27
110,simfix_2,0 days 05:53:19
111,dynamoth_1,0 days 00:11:12
112,tbar_0,0 days 02:05:16
113,simfix_0,0 days 02:04:42
114,nopol_1,0 days 00:00:45
115,dynamoth_1,0 days 00:00:45
116,nopol_2,0 days 00:03:07
117,nopol_3,0 days 01:15:32
118,tbar_1,0 days 00:03:05
119,tbar_2,0 days 04:22:07
120,simfix_1,0 days 02:13:50
121,tbar_1,0 days 00:00:15
122,tbar_2,0 days 02:05:46
123,tbar_0,0 days 02:09:07
124,simfix_0,0 days 03:10:34
125,nopol_1,0 days 00:01:36
126,dynamoth_1,0 days 00:00:20
127,simfix_1,0 days 00:00:02
128,tbar_0,0 days 03:41:08
129,simfix_0,0 days 03:42:15
130,nopol_1,0 days 00:09:12
131,simfix_1,0 days 02:34:00
132,dynamoth_1-not-used,0 days 01:40:18
133,simfix_1,0 days 02:50:22
134,tbar_0,0 days 02:03:46
135,simfix_0,0 days 03:18:17
136,nopol_1,0 days 00:02:04
137,dynamoth_1,0 days 00:00:28
138,simfix_1,0 days 03:09:07
139,simfix_1,0 days 01:09:28
140,tbar_1,0 days 02:25:24
141,tbar_0,0 days 02:51:35
142,simfix_0,0 days 03:35:08
143,nopol_1,0 days 00:55:25
144,tbar_1,0 days 04:00:02
145,simfix_2,0 days 04:43:07
146,dynamoth_1,0 days 00:19:09
147,nopol_2,0 days 00:11:13
148,nopol_3,0 days 00:00:13
149,simfix_1,0 days 01:39:55
150,tbar_0,0 days 02:01:53
151,simfix_0,0 days 05:05:12
152,nopol_1,0 days 00:31:24
153,tbar_1,0 days 04:00:03
154,simfix_2,0 days 06:00:16
155,dynamoth_1,0 days 01:53:20
156,tbar_1,0 days 03:10:38
157,simfix_2,0 days 04:39:05
158,nopol_2,0 days 00:02:37
159,nopol_3,0 days 00:11:43
160,tbar_1,0 days 02:39:11
161,tbar_0,0 days 02:02:28
162,simfix_0,0 days 00:41:58
163,nopol_1,0 days 00:01:48
164,dynamoth_1,0 days 00:00:09
165,simfix_1,0 days 00:29:44
166,simfix_1,0 days 00:37:19
167,tbar_0,0 days 02:03:34
168,simfix_0,0 days 02:14:11
169,nopol_1,0 days 00:21:05
170,dynamoth_1,0 days 01:07:41
171,tbar_0,0 days 02:04:22
172,simfix_0,0 days 02:10:52
173,nopol_1,0 days 00:02:09
174,dynamoth_1,0 days 00:00:13
175,simfix_1,0 days 02:06:02
176,tbar_0,0 days 02:02:08
177,simfix_0,0 days 02:02:33
178,nopol_1,0 days 00:21:13
179,dynamoth_1,0 days 02:00:06
180,tbar_1,0 days 00:01:52
181,nopol_2,0 days 00:06:53
182,nopol_3,0 days 00:24:46
183,simfix_1,0 days 02:45:39
184,tbar_0,0 days 02:03:58
185,simfix_0,0 days 02:14:43
186,nopol_1,0 days 00:06:14
187,dynamoth_1,0 days 00:02:11
188,tbar_1,0 days 02:57:35
189,tbar_0,0 days 00:11:39
190,simfix_0,0 days 00:00:58
191,nopol_1,0 days 00:02:13
192,dynamoth_1,0 days 00:00:17
193,tbar_0,0 days 00:23:34
194,simfix_0,0 days 02:03:17
195,nopol_1,0 days 00:22:18
196,dynamoth_1,0 days 00:00:12
197,tbar_0,0 days 00:36:23
198,simfix_0,0 days 01:47:54
199,nopol_1,0 days 00:00:28
200,dynamoth_1,0 days 00:00:11
201,nopol_2,0 days 00:00:26
202,nopol_3,0 days 00:00:28
203,nopol_2,0 days 00:06:55
204,nopol_3,0 days 00:16:16
205,simfix_1,0 days 01:18:11
206,tbar_0,0 days 02:03:41
207,simfix_0,0 days 00:01:53
208,nopol_1,0 days 00:02:05
209,dynamoth_1,0 days 00:10:01
210,simfix_1,0 days 02:30:27
211,tbar_0,0 days 02:40:40
212,simfix_0,0 days 06:00:02
213,nopol_1,0 days 00:01:33
214,dynamoth_1,0 days 00:00:53
215,dynamoth_2,0 days 00:00:17
216,dynamoth_1,0 days 00:00:41
217,dynamoth_3,0 days 00:00:17
218,tbar_1,0 days 00:00:23
219,tbar_2,0 days 04:09:16
220,tbar_1,0 days 00:01:44
221,tbar_0,0 days 01:25:52
222,simfix_0,0 days 00:03:40
223,nopol_1,0 days 00:02:35
224,dynamoth_1,0 days 00:00:26
225,tbar_0,0 days 02:10:14
226,simfix_0,0 days 02:02:20
227,nopol_1,0 days 00:11:27
228,dynamoth_1,0 days 00:08:18
229,tbar_0,0 days 02:00:36
230,simfix_0,0 days 02:11:44
231,nopol_1,0 days 00:17:43
232,dynamoth_1,0 days 00:33:33
233,simfix_1,0 days 03:04:22
234,simfix_1,0 days 01:43:24
235,tbar_1,0 days 02:36:49
236,nopol_2,0 days 00:01:29
237,nopol_3,0 days 00:01:08
238,tbar_0,0 days 02:09:14
239,simfix_0,0 days 02:35:45
240,nopol_1-failure-not-used(rerun-in-3),0 days 00:57:55
241,dynamoth_1,0 days 02:12:55
242,simfix_1,0 days 01:03:57
243,tbar_0,0 days 02:04:47
244,simfix_0,0 days 02:58:06
245,nopol_1,0 days 01:19:37
246,dynamoth_1,3 days 20:26:21
247,tbar_0,0 days 02:06:51
248,simfix_0,0 days 02:07:14
249,nopol_1,0 days 00:32:33
250,dynamoth_1-need-rerun,0 days 00:00:25
251,tbar_0,0 days 02:07:31
252,simfix_0,0 days 02:13:52
253,nopol_1,0 days 01:07:50
254,dynamoth_1,0 days 00:25:47
255,tbar_0,0 days 06:00:03
256,simfix_0,0 days 02:57:43
257,nopol_1,0 days 00:02:55
258,dynamoth_1,0 days 00:00:21
259,simfix_1,0 days 01:32:40
260,simfix_1,0 days 01:03:34
261,simfix_1,0 days 00:00:41
262,tbar_0,0 days 03:07:59
263,simfix_0,0 days 04:03:47
264,nopol_1,0 days 00:56:03
265,dynamoth_1,0 days 00:02:16
266,simfix_1,0 days 03:57:17
267,nopol_2,0 days 00:07:55
268,nopol_3,0 days 00:10:00
269,tbar_0,0 days 02:02:51
270,simfix_0,0 days 02:01:37
271,nopol_1,0 days 00:14:46
272,simfix_2,0 days 04:13:04
273,dynamoth_1,0 days 00:00:47
274,nopol_2,0 days 00:08:18
275,nopol_3,0 days 02:00:20
276,nopol_2,0 days 00:06:05
277,nopol_3,0 days 00:00:11
278,tbar_0,0 days 02:07:21
279,simfix_0,0 days 02:03:04
280,nopol_1,0 days 00:39:32
281,simfix_2,0 days 03:52:34
282,dynamoth_1,0 days 00:51:25
283,simfix_1,0 days 02:45:43
284,tbar_0,0 days 02:02:36
