,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
0,nopol_1,nopol_1,quixbugs,BREADTH_FIRST_SEARCH_,1.1900000000000002,1.306,1.1900000000000002,0,0,0,0,0,NO,NO,,NO,-,NO
1,nopol_2,nopol_2,quixbugs,BREADTH_FIRST_SEARCH_,1.109,1.306,1.109,0,0,0,0,0,NO,NO,,NO,-,NO
2,nopol_3,nopol_3,quixbugs,BREADTH_FIRST_SEARCH_,1.2349999999999999,1.306,1.2349999999999999,0,0,0,0,0,NO,NO,,NO,-,NO
3,simfix_0,simfix_1,quixbugs,BREADTH_FIRST_SEARCH_,0.0,1.307,0.0,0,0,0,0,0,NO,NO,,NO,NO,NO
4,simfix_0,simfix_2,quixbugs,BREADTH_FIRST_SEARCH_,0.0,1.307,0.0,0,0,0,0,0,NO,NO,,NO,NO,NO
5,simfix_0,simfix_3,quixbugs,BREADTH_FIRST_SEARCH_,0.0,1.307,0.0,0,0,0,0,0,NO,NO,,NO,NO,NO
6,dynamoth_1,dynamoth_1,quixbugs,BREADTH_FIRST_SEARCH_,1.0230000000000001,1.306,1.0230000000000001,0,0,0,0,0,NO,NO,,NO,-,NO
7,dynamoth_2,dynamoth_2,quixbugs,BREADTH_FIRST_SEARCH_,1.0090000000000001,1.306,1.0090000000000001,0,0,0,0,0,NO,NO,,NO,-,NO
8,dynamoth_3,dynamoth_3,quixbugs,BREADTH_FIRST_SEARCH_,1.2040000000000002,1.306,1.2040000000000002,0,0,0,0,0,NO,NO,,NO,-,NO
9,nopol_1,nopol_1,quixbugs,HANOI_,20.651,1.256,20.651,0,0,0,0,0,NO,NO,,NO,-,NO
10,nopol_2,nopol_2,quixbugs,HANOI_,21.674,1.256,21.674,0,0,0,0,0,NO,NO,,NO,-,NO
11,nopol_3,nopol_3,quixbugs,HANOI_,22.488,1.256,22.488,0,0,0,0,0,NO,NO,,NO,-,NO
12,simfix_0,simfix_1,quixbugs,HANOI_,9.186,1.258,0.0,7.316,1.636,18,210,0,NO,NO,,NO,NO,NO
13,simfix_0,simfix_2,quixbugs,HANOI_,8.815,1.258,0.0,7.316,1.265,18,70,0,NO,NO,,NO,NO,NO
14,simfix_0,simfix_3,quixbugs,HANOI_,8.841999999999999,1.258,0.0,7.316,1.292,18,70,0,NO,NO,,NO,NO,NO
15,tbar_2,tbar_1,quixbugs,HANOI_,110.33599999999998,1.259,0.0,87.05599999999998,21.326,145,700,yes,NO,NO,,NO,NO,NO
16,tbar_2,tbar_2,quixbugs,HANOI_,110.067,1.259,0.0,87.05599999999998,21.057000000000006,145,700,yes,NO,NO,,NO,NO,NO
17,tbar_2,tbar_3,quixbugs,HANOI_,110.25799999999998,1.259,0.0,87.05599999999998,21.247999999999998,145,700,yes,NO,NO,,NO,NO,NO
18,dynamoth_1,dynamoth_1,quixbugs,HANOI_,2.251,1.256,2.251,0,0,0,0,0,NO,NO,,NO,-,NO
19,dynamoth_2,dynamoth_2,quixbugs,HANOI_,3.079,1.256,3.079,0,0,0,0,0,NO,NO,,NO,-,NO
20,dynamoth_3,dynamoth_3,quixbugs,HANOI_,2.7840000000000003,1.256,2.7840000000000003,0,0,0,0,0,NO,NO,,NO,-,NO
21,nopol_1,nopol_1,quixbugs,FIND_IN_SORTED_,25.928,1.343,25.775000000000002,0.036,0.153,1,7,yes,NO,NO,,NO,-,NO
22,nopol_2,nopol_2,quixbugs,FIND_IN_SORTED_,22.902,1.343,22.630000000000003,0.044,0.272,1,7,yes,NO,NO,,NO,-,NO
23,nopol_3,nopol_3,quixbugs,FIND_IN_SORTED_,17.308,1.343,17.066,0.053,0.242,1,7,yes,NO,NO,,NO,-,NO
24,simfix_0,simfix_1,quixbugs,FIND_IN_SORTED_,0.907,1.3439999999999999,0.0,0.719,0.133,2,8,0,NO,NO,,NO,NO,NO
25,simfix_0,simfix_2,quixbugs,FIND_IN_SORTED_,0.913,1.3439999999999999,0.0,0.719,0.139,2,2,0,NO,NO,,NO,NO,NO
