,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
0,nopol_3,nopol_3,defects4j,Time_11,401.018,10.796,401.018,0,0,0,0,0,NO,NO,,NO,-,NO
1,nopol_3,nopol_3,defects4j,Time_14,10.22,10.726,3.527000000000001,0.164,6.693,1,3907,0,NO,YES,1_default.txt,NO,-,NO
2,simfix_2,simfix_2,defects4j,Time_14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,simfix_2,simfix_2,defects4j,Time_20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,dynamoth_1,dynamoth_1,defects4j,Chart_9,387.629,9.54,387.18,0.109,0.449,5,2,yes,NO,NO,,NO,-,NO
5,dynamoth_2,dynamoth_2,defects4j,Chart_9,365.341,9.54,360.059,0.085,5.282,5,1821,yes,NO,NO,,NO,-,NO
6,dynamoth_3,dynamoth_3,defects4j,Chart_9,368.718,9.54,363.44,0.085,5.278,5,1821,yes,NO,NO,,NO,-,NO
7,tbar_2,tbar_1,defects4j,Lang_6,7477.728000000001,20.477999999999998,0,1827.4320000000023,5620.445,1964,8015,0,NO,NO,,YES,NO,NO
8,tbar_2,tbar_2,defects4j,Lang_6,2189.4790000000007,20.477999999999998,0,1830.2820000000022,329.34599999999995,1970,3250,yes,NO,NO,,YES,NO,NO
9,tbar_2,tbar_3,defects4j,Lang_6,7245.888999999996,20.477999999999998,0,332.06499999999977,6883.972999999997,480,704048,0,NO,NO,,YES,NO,NO
10,tbar_2,tbar_1,defects4j,Lang_18,3370.3639999999978,11.5,0,2599.442999999997,743.9230000000007,3895,35719,yes,NO,NO,,YES,NO,NO
11,tbar_2,tbar_2,defects4j,Lang_18,3030.1789999999964,11.5,0,2599.442999999997,403.7379999999998,3895,4096,yes,NO,NO,,YES,NO,NO
12,tbar_2,tbar_3,defects4j,Lang_18,7221.401000000003,11.5,0,1035.228,6159.175000000003,1605,1082616,0,NO,NO,,YES,NO,NO
13,simfix_2,simfix_2,defects4j,Lang_19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,simfix_2,simfix_2,defects4j,Lang_38,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,simfix_2,simfix_2,defects4j,Lang_46,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,simfix_2,simfix_2,defects4j,Lang_52,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,nopol_1,nopol_1,defects4j,Lang_63,1130.6129999999998,13.346,1130.6129999999998,0,0,0,0,0,NO,NO,,NO,-,NO
18,dynamoth_1,dynamoth_1,defects4j,Math_8,2.186,488.362,1.7479999999999998,0.161,0.43800000000000006,1,1,yes,NO,NO,,NO,-,NO
19,dynamoth_2,dynamoth_2,defects4j,Math_8,201.446,488.362,1.671999999999997,0.158,199.774,1,4306,yes,NO,NO,,NO,-,NO
20,dynamoth_3,dynamoth_3,defects4j,Math_8,214.878,488.362,1.7069999999999936,0.128,213.171,1,4306,0,NO,YES,1_default.txt,NO,-,NO
21,tbar_2,tbar_1,defects4j,Math_35,5542.557000000004,312.64700000000005,0,5507.463000000005,0.0,6784,0,0,NO,NO,,NO,NO,NO
22,tbar_2,tbar_2,defects4j,Math_35,6394.268000000007,312.64700000000005,0,5507.463000000005,851.7110000000027,6784,15240,0,NO,NO,,NO,NO,NO
23,tbar_2,tbar_3,defects4j,Math_35,7381.8139999999985,312.64700000000005,0,128.993,7217.726999999999,140,117572,0,NO,NO,,NO,NO,NO
24,tbar_2,tbar_2,defects4j,Math_61,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,simfix_2,simfix_2,defects4j,Math_78,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,simfix_2,simfix_1,defects4j,Math_79,275.46600000000035,10.551,0,235.8910000000001,3.755,562,334,yes,NO,NO,,NO,NO,NO
27,simfix_2,simfix_2,defects4j,Math_79,294.87400000000036,10.551,0,235.8910000000001,23.163,562,3697,yes,NO,NO,,NO,NO,NO
28,simfix_2,simfix_3,defects4j,Math_79,734.7010000000002,10.551,0,235.8910000000001,462.9899999999999,562,85822,yes,NO,NO,,NO,NO,NO
29,simfix_1,simfix_1,defects4j,Math_83,7278.387999999997,17.231,0,3090.844999999993,3895.7530000000015,3644,23515,0,NO,NO,,NO,NO,NO
30,simfix_1,simfix_2,defects4j,Math_83,7071.417000000007,17.231,0,6215.444000000005,564.1829999999995,7073,26401,0,NO,NO,,NO,NO,NO
31,simfix_1,simfix_3,defects4j,Math_83,6507.234000000008,17.231,0,6215.444000000005,0.0,7073,0,0,NO,NO,,NO,NO,NO
32,dynamoth_2,dynamoth_2,defects4j,Math_85,17.706,13.985,3.724,0.205,13.982,1,1726,yes,NO,NO,,NO,-,NO
33,dynamoth_3,dynamoth_3,defects4j,Math_85,17.771,13.985,3.6400000000000006,0.09,14.131,1,1726,yes,NO,NO,,NO,-,NO
34,simfix_1,simfix_1,defects4j,Math_86,2022.6350000000002,16.224,0,1676.8719999999994,290.24600000000004,1554,63090,yes,YES,NO,,NO,NO,NO
35,simfix_1,simfix_2,defects4j,Math_86,1812.2429999999995,16.224,0,1675.6489999999994,88.44700000000002,1553,5331,yes,YES,NO,,NO,NO,NO
36,simfix_1,simfix_3,defects4j,Math_86,1732.3890000000001,16.224,0,1676.8719999999994,0.0,1554,0,0,YES,NO,,NO,NO,NO
37,simfix_1,simfix_1,defects4j,Math_87,8372.120999999996,15.716999999999999,0,4811.361999999998,3311.1090000000004,5332,168384,0,YES,NO,,NO,NO,NO
38,simfix_1,simfix_2,defects4j,Math_87,5427.471999999996,15.716999999999999,0,4810.1709999999985,374.9249999999997,5326,14167,yes,YES,NO,,NO,NO,NO
39,simfix_1,simfix_3,defects4j,Math_87,5063.874999999995,15.716999999999999,0,4814.2249999999985,0.0,5333,0,0,YES,NO,,NO,NO,NO
40,dynamoth_2,dynamoth_2,defects4j,Math_87,86.68,14.697,71.024,0.198,15.656,1,1636,yes,NO,NO,,NO,-,NO
41,dynamoth_3,dynamoth_3,defects4j,Math_87,79.37900000000002,14.697,64.44800000000002,0.147,14.931000000000001,1,1636,yes,NO,NO,,NO,-,NO
42,dynamoth_2,dynamoth_2,defects4j,Math_88,35.478,13.689,21.331000000000003,0.311,14.147,1,1623,yes,NO,NO,,NO,-,NO
43,dynamoth_3,dynamoth_3,defects4j,Math_88,34.318,13.689,21.993,0.407,12.325,1,1623,yes,NO,NO,,NO,-,NO
44,simfix_1,simfix_1,defects4j,Math_91,7220.852,18.106,0,3.218,7200.3099999999995,4,528,0,NO,NO,,NO,NO,NO
45,simfix_1,simfix_2,defects4j,Math_91,6864.108000000001,18.106,0,229.62100000000024,6617.1630000000005,343,101,0,NO,NO,,NO,NO,NO
46,simfix_1,simfix_3,defects4j,Math_91,246.94500000000048,18.106,0,229.62100000000024,0.0,343,0,0,NO,NO,,NO,NO,NO
47,simfix_1,simfix_1,defects4j,Math_92,7825.406000000003,12.241999999999999,0,454.9739999999997,7338.505999999999,775,2692,0,NO,NO,,NO,NO,NO
48,simfix_1,simfix_2,defects4j,Math_92,1647.781000000004,12.241999999999999,0,576.7129999999999,1039.1420000000007,906,239,0,NO,NO,,NO,NO,NO
49,simfix_1,simfix_3,defects4j,Math_92,608.6390000000031,12.241999999999999,0,576.7129999999999,0.0,906,0,0,NO,NO,,NO,NO,NO
50,simfix_1,simfix_1,defects4j,Math_94,7230.598,16.57,0,14.029000000000002,7202.619000000001,15,632,0,NO,NO,,NO,NO,NO
51,simfix_1,simfix_2,defects4j,Math_94,1890.4829999999986,16.57,0,71.69100000000002,1804.8419999999999,109,28,0,NO,NO,,NO,NO,NO
52,simfix_1,simfix_3,defects4j,Math_94,85.64099999999868,16.57,0,71.69100000000002,0.0,109,0,0,NO,NO,,NO,NO,NO
53,simfix_1,simfix_1,defects4j,Math_95,8735.200999999997,12.218,0,87.38000000000004,8612.675,150,1093,0,NO,NO,,NO,NO,NO
54,simfix_1,simfix_2,defects4j,Math_95,7596.306999999997,12.218,0,804.0479999999993,6757.1129999999985,1505,273,0,NO,NO,,NO,NO,NO
55,simfix_1,simfix_3,defects4j,Math_95,839.6479999999978,12.218,0,804.5019999999993,0.0,1506,0,0,NO,NO,,NO,NO,NO
56,simfix_1,simfix_1,defects4j,Math_97,7295.289999999999,9.266,0,35.85699999999999,7232.603,66,2452,0,NO,NO,,NO,NO,NO
57,simfix_1,simfix_2,defects4j,Math_97,1824.7369999999976,9.266,0,1618.803999999999,179.10299999999984,3452,6246,0,NO,NO,,NO,NO,NO
58,simfix_1,simfix_3,defects4j,Math_97,1645.6339999999977,9.266,0,1618.803999999999,0.0,3452,0,0,NO,NO,,NO,NO,NO
59,dynamoth_2,dynamoth_2,defects4j,Math_97,26.915,8.983,17.226999999999997,0.109,9.688,1,974,yes,NO,NO,,NO,-,NO
60,dynamoth_3,dynamoth_3,defects4j,Math_97,28.124000000000002,8.983,17.638,0.128,10.486,1,974,yes,NO,NO,,NO,-,NO
61,simfix_1,simfix_1,defects4j,Math_99,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,simfix_1,simfix_1,defects4j,Math_100,7549.2609999999995,11.545,0,1828.6269999999993,5580.697000000002,3201,28773,0,NO,NO,,NO,NO,NO
63,simfix_1,simfix_2,defects4j,Math_100,7188.840000000009,11.545,0,5989.34300000001,1059.5600000000004,9527,1714,0,NO,NO,,NO,NO,NO
64,simfix_1,simfix_3,defects4j,Math_100,6129.280000000008,11.545,0,5989.34300000001,0.0,9527,0,0,NO,NO,,NO,NO,NO
65,simfix_1,simfix_1,defects4j,Math_102,7820.132999999999,14.087,0,471.34999999999866,7279.813,869,14160,0,NO,NO,,NO,NO,NO
66,simfix_1,simfix_2,defects4j,Math_102,1934.9399999999973,14.087,0,1726.021999999997,139.94800000000004,3262,2264,0,NO,NO,,NO,NO,NO
67,simfix_1,simfix_3,defects4j,Math_102,1794.9919999999975,14.087,0,1726.021999999997,0.0,3262,0,0,NO,NO,,NO,NO,NO
68,simfix_1,simfix_1,defects4j,Math_103,8108.5839999999935,9.365,0,213.05600000000004,7869.914999999999,409,10070,0,NO,NO,,NO,NO,NO
69,simfix_1,simfix_2,defects4j,Math_103,708.8469999999954,9.365,0,660.2920000000003,22.94200000000001,1249,179,0,NO,NO,,NO,NO,NO
70,simfix_1,simfix_3,defects4j,Math_103,685.9049999999954,9.365,0,660.2920000000003,0.0,1249,0,0,NO,NO,,NO,NO,NO
71,simfix_1,simfix_1,defects4j,Math_104,7302.205000000002,9.233,0,47.383,7207.192,88,1846,0,NO,NO,,NO,NO,NO
72,simfix_1,simfix_2,defects4j,Math_104,2203.6800000000003,9.233,0,1362.344999999998,793.7049999999999,2583,4965,0,NO,NO,,NO,NO,NO
73,simfix_1,simfix_3,defects4j,Math_104,1409.9750000000004,9.233,0,1362.344999999998,0.0,2583,0,0,NO,NO,,NO,NO,NO
74,dynamoth_2,dynamoth_2,defects4j,Math_105,20.840999999999998,7.773,13.873999999999997,0.096,6.9670000000000005,1,782,yes,NO,NO,,NO,-,NO
75,dynamoth_3,dynamoth_3,defects4j,Math_105,20.69,7.773,13.882000000000001,0.089,6.808000000000001,1,782,yes,NO,NO,,NO,-,NO
76,simfix_1,simfix_1,defects4j,Math_106,7484.5549999999985,6.729,0,233.64800000000005,7231.946,430,3545,0,NO,NO,,NO,NO,NO
77,simfix_1,simfix_2,defects4j,Math_106,2024.9869999999983,6.729,0,305.0840000000001,1700.9419999999998,573,6315,0,NO,NO,,NO,NO,NO
78,simfix_1,simfix_3,defects4j,Math_106,324.04499999999854,6.729,0,305.0840000000001,0.0,573,0,0,NO,NO,,NO,NO,NO
79,simfix_1,simfix_1,defects4j,Closure_1,7200.6,99.58399999999999,0,2692.4049999999957,4361.086000000003,2924,97453,0,NO,NO,,YES,NO,NO
80,simfix_1,simfix_2,defects4j,Closure_1,7093.259999999997,99.58399999999999,0,5875.402999999994,1070.7480000000012,6983,22164,0,NO,NO,,YES,NO,NO
81,simfix_1,simfix_3,defects4j,Closure_1,6022.511999999995,99.58399999999999,0,5875.402999999994,0.0,6983,0,0,NO,NO,,YES,NO,NO
82,dynamoth_2,dynamoth_2,defects4j,Closure_1,138.039,88.603,82.35299999999998,1.315,55.686,1,7894,yes,NO,NO,,NO,-,NO
83,dynamoth_3,dynamoth_3,defects4j,Closure_1,116.381,88.603,74.70500000000001,0.934,41.675999999999995,1,7894,0,NO,YES,1_default.txt,NO,-,NO
84,simfix_1,simfix_1,defects4j,Closure_2,7171.810999999989,107.146,0,7047.51699999999,3.998,6287,56,0,NO,NO,,NO,NO,NO
85,simfix_1,simfix_2,defects4j,Closure_2,7241.951999999992,107.146,0,6171.945999999993,949.710000000001,5582,1129,0,NO,NO,,NO,NO,NO
86,simfix_1,simfix_3,defects4j,Closure_2,7168.757999999988,107.146,0,7048.4619999999895,0.0,6288,0,0,NO,NO,,NO,NO,NO
87,dynamoth_2,dynamoth_2,defects4j,Closure_2,140.03,95.298,85.65100000000001,0.51,54.379,1,7847,yes,NO,NO,,NO,-,NO
88,dynamoth_3,dynamoth_3,defects4j,Closure_2,138.03,95.298,82.928,0.898,55.102000000000004,1,7847,0,NO,YES,1_default.txt,NO,-,NO
89,nopol_3,nopol_3,defects4j,Closure_3,49.222,98.871,7.4410000000000025,1.175,41.781,1,7848,0,NO,YES,1_default.txt,NO,-,NO
90,simfix_1,simfix_1,defects4j,Closure_3,7163.322999999997,111.895,0,3435.880999999993,3580.0239999999994,3432,69783,0,NO,NO,,YES,NO,NO
91,simfix_1,simfix_2,defects4j,Closure_3,7062.1550000000025,111.895,0,5594.2159999999985,1320.5209999999997,6235,97956,0,NO,NO,,YES,NO,NO
92,simfix_1,simfix_3,defects4j,Closure_3,5741.634000000003,111.895,0,5594.2159999999985,0.0,6235,0,0,NO,NO,,YES,NO,NO
