,apr_folder,repair_time
0,simfix_2,0 days 00:13:47
1,tbar_0,0 days 02:37:32
2,simfix_0,0 days 02:12:28
3,nopol_1,0 days 00:01:36
4,dynamoth_1,0 days 00:00:09
5,tbar_2,0 days 05:48:58
6,simfix_1,0 days 02:22:19
7,tbar_0,0 days 00:01:44
8,simfix_0,0 days 00:01:42
9,nopol_1,0 days 00:02:04
10,dynamoth_1,0 days 00:01:37
11,tbar_0,0 days 02:01:43
12,simfix_0,0 days 02:01:37
13,nopol_1,0 days 00:51:19
14,dynamoth_1,0 days 00:30:14
15,simfix_1,0 days 02:26:01
16,dynamoth_2,0 days 00:02:01
17,dynamoth_3,0 days 00:00:47
18,tbar_0,0 days 02:05:46
19,simfix_0,0 days 02:04:51
20,nopol_1,0 days 00:03:48
21,dynamoth_2,0 days 00:01:17
22,dynamoth_1,0 days 00:00:30
23,simfix_1,0 days 02:29:55
24,dynamoth_3,0 days 00:18:12
25,tbar_0,0 days 02:53:10
26,simfix_0,0 days 02:03:31
27,nopol_1,0 days 00:14:10
28,dynamoth_1,0 days 00:26:33
29,simfix_1,0 days 02:07:51
30,tbar_2,0 days 02:17:36
31,simfix_1,0 days 00:00:28
32,simfix_1,0 days 02:10:52
33,dynamoth_2,0 days 00:01:25
34,simfix_1,0 days 03:04:23
35,dynamoth_3,0 days 00:43:26
36,nopol_3,0 days 01:43:25
37,tbar_0,0 days 02:18:09
38,simfix_0,0 days 02:05:41
39,nopol_1,0 days 00:01:17
40,dynamoth_1,0 days 00:00:09
41,tbar_2,0 days 05:12:34
42,simfix_1,0 days 02:10:32
43,tbar_2,0 days 04:20:00
44,simfix_1,0 days 02:24:21
45,dynamoth_2,0 days 00:01:12
46,simfix_1,0 days 00:23:43
47,dynamoth_3,0 days 02:00:26
48,nopol_3,0 days 02:00:20
49,tbar_0,0 days 00:00:11
50,simfix_0,0 days 00:00:12
51,nopol_1,0 days 00:00:25
52,dynamoth_1,0 days 00:00:11
53,simfix_1,0 days 02:21:24
54,tbar_0,0 days 02:57:20
55,simfix_0,0 days 02:18:59
56,nopol_1,0 days 00:01:01
57,dynamoth_1,0 days 00:00:08
58,simfix_1,0 days 03:11:15
59,simfix_2,0 days 01:41:43
60,tbar_2,0 days 02:02:15
61,simfix_1,0 days 00:07:15
62,tbar_0,0 days 00:01:45
63,simfix_0,0 days 00:01:47
64,nopol_1,0 days 00:03:18
65,dynamoth_1,0 days 00:02:37
66,dynamoth_2,0 days 00:01:17
67,simfix_1,0 days 02:58:11
68,dynamoth_3,0 days 02:13:05
69,simfix_2,0 days 06:00:20
70,nopol_3,0 days 00:13:15
71,tbar_0,0 days 00:00:11
72,simfix_0,0 days 00:00:11
73,nopol_1,0 days 00:00:26
74,dynamoth_1,0 days 00:00:11
75,simfix_1,0 days 02:33:06
76,tbar_0,0 days 02:09:11
77,simfix_0,0 days 02:24:51
78,nopol_1,0 days 00:09:14
79,simfix_2,0 days 06:01:27
80,dynamoth_1,0 days 00:03:50
81,simfix_1,0 days 03:02:21
82,simfix_1,0 days 02:28:02
83,tbar_0,0 days 03:21:58
84,simfix_0,0 days 02:02:59
85,nopol_1,0 days 00:13:39
86,dynamoth_1,0 days 00:07:42
87,simfix_1,0 days 00:00:21
