,apr_folder,repair_time
0,simfix_2,0 days 04:17:23
1,tbar_1,0 days 04:00:03
2,simfix_1,0 days 04:37:20
3,tbar_0,0 days 00:02:42
4,simfix_0,0 days 00:00:13
5,nopol_1,0 days 00:01:15
6,dynamoth_1,0 days 00:00:09
7,dynamoth_2,0 days 00:14:47
8,dynamoth_3,0 days 00:07:26
9,tbar_0,0 days 01:07:35
10,simfix_0,0 days 01:37:04
11,nopol_1,0 days 00:01:41
12,dynamoth_1,0 days 00:00:54
13,tbar_0,0 days 02:02:13
14,simfix_0,0 days 02:02:01
15,nopol_1,0 days 00:15:56
16,simfix_2,0 days 04:03:13
17,dynamoth_1,0 days 00:31:42
18,tbar_1,0 days 02:38:10
19,simfix_1,0 days 02:48:53
20,dynamoth_2,0 days 00:02:21
21,tbar_1,0 days 00:40:56
22,simfix_1,0 days 04:16:51
23,dynamoth_3,0 days 00:02:20
24,nopol_2,0 days 00:02:35
25,nopol_3,0 days 00:02:48
26,tbar_1,0 days 03:21:39
27,simfix_1,0 days 03:41:13
28,tbar_1,0 days 00:30:30
29,tbar_0,0 days 02:04:07
30,simfix_0,0 days 02:00:40
31,nopol_1,0 days 00:00:27
32,dynamoth_1,0 days 00:00:26
33,tbar_0,0 days 02:04:46
34,simfix_0,0 days 02:09:52
35,nopol_1,0 days 00:06:10
36,dynamoth_1,0 days 00:01:01
37,simfix_2,0 days 04:15:29
38,tbar_0,0 days 02:02:35
39,simfix_0,0 days 02:06:24
40,nopol_1,0 days 00:13:48
41,dynamoth_1,0 days 02:00:09
42,simfix_1,0 days 02:15:14
43,tbar_0,0 days 02:09:05
44,simfix_0,0 days 02:03:23
45,nopol_1,0 days 01:03:06
46,simfix_2,0 days 04:05:56
47,dynamoth_1,0 days 02:03:38
48,dynamoth_2,0 days 00:02:18
49,tbar_1,0 days 02:34:38
50,simfix_1,0 days 01:57:45
51,dynamoth_3,0 days 00:02:15
52,tbar_0,0 days 02:05:38
53,simfix_0,0 days 02:06:50
54,nopol_1,0 days 00:04:04
55,simfix_2,0 days 04:26:59
56,dynamoth_1,0 days 00:00:34
57,tbar_0,0 days 02:04:06
58,simfix_0,0 days 02:02:44
59,nopol_1,0 days 00:28:38
60,dynamoth_1,0 days 02:00:13
61,tbar_1,0 days 03:55:07
62,tbar_1,0 days 03:52:52
63,simfix_1,0 days 04:13:04
64,tbar_0,0 days 02:07:41
65,simfix_0,0 days 02:03:02
66,nopol_1,0 days 02:00:14
67,dynamoth_1,0 days 01:05:47
68,tbar_1,0 days 03:56:47
69,simfix_1,0 days 02:03:28
70,tbar_1,0 days 02:20:27
71,simfix_1,0 days 02:18:55
72,tbar_0,0 days 02:03:59
73,simfix_0,0 days 02:06:20
74,nopol_1,0 days 00:00:28
75,dynamoth_2,0 days 00:01:00
76,dynamoth_1,0 days 00:00:33
77,simfix_1,0 days 02:13:15
78,dynamoth_3,0 days 00:00:57
79,tbar_0,0 days 02:07:34
80,simfix_0,0 days 02:07:36
81,nopol_1,0 days 00:00:32
82,dynamoth_1,0 days 00:00:33
83,dynamoth_2,0 days 00:00:25
84,dynamoth_3,0 days 02:17:34
85,nopol_2,0 days 00:02:44
86,nopol_3,0 days 00:02:02
87,tbar_1,0 days 00:28:11
88,tbar_0,0 days 03:09:39
89,simfix_0,0 days 03:14:01
90,nopol_1,0 days 01:07:25
91,dynamoth_1,0 days 00:23:31
92,tbar_0,0 days 02:08:51
93,simfix_0,0 days 02:04:06
94,nopol_1,0 days 02:03:54
95,dynamoth_1,0 days 00:50:17
96,tbar_1,0 days 02:21:35
97,simfix_1,0 days 03:51:49
98,simfix_2,0 days 04:11:17
99,dynamoth_2,0 days 00:01:17
100,dynamoth_3,0 days 00:00:30
101,dynamoth_2,0 days 00:00:18
102,dynamoth_3,0 days 00:00:18
103,nopol_2,0 days 00:02:17
104,nopol_3,0 days 00:00:38
105,tbar_1,0 days 03:21:02
106,simfix_1,0 days 04:19:51
