,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory
0,dynamoth_2,defects4j,Time_4,330.728,12.103,307.37899999999996,0.442,7.4510000000000005,1,4015,yes,NO
1,dynamoth_3,defects4j,Time_4,320.435,12.218,295.51599999999996,0.244,7.17,1,4015,0,NO
2,nopol_2,defects4j,Time_11,0.0,0.0,475.0,0.0,0.0,0,0,0,NO
3,nopol_3,defects4j,Time_11,0.0,0.0,51.0,0.0,0.0,0,0,0,YES
4,dynamoth_2,defects4j,Time_11,27.747999999999998,12.628,3.532,1.283,7.263,1,3950,yes,NO
5,dynamoth_3,defects4j,Time_11,0.0,0.0,96.243,2.175,13.757000000000001,2,7900,0,NO
6,nopol_2,defects4j,Time_14,55.260000000000005,17.595000000000002,6.120999999999999,0.274,23.895,1,3907,yes,NO
7,nopol_3,defects4j,Time_14,0.0,0.0,21.528,0.209,23.472,1,3907,0,YES
8,dynamoth_2,defects4j,Time_14,34.099000000000004,17.146,7.073,0.154,5.756,1,3907,yes,NO
9,dynamoth_3,defects4j,Time_14,0.0,0.0,34.697,0.161,5.303,1,3907,0,NO
10,dynamoth_2,defects4j,Chart_1,39.315000000000005,12.858,14.48,0.219,6.25,1,2201,yes,NO
11,dynamoth_3,defects4j,Chart_1,38.650999999999996,12.884,14.389000000000001,0.138,5.975,1,2201,yes,NO
12,nopol_2,defects4j,Chart_5,52.949999999999996,21.802,4.269,0.245,15.774,1,2041,yes,NO
13,nopol_3,defects4j,Chart_5,52.93299999999999,21.557,3.7830000000000013,0.165,16.605,1,2041,yes,NO
14,dynamoth_2,defects4j,Chart_5,34.028,21.334999999999997,1.4859999999999998,0.152,5.7540000000000004,1,2041,yes,NO
15,dynamoth_3,defects4j,Chart_5,34.882,21.348,1.8070000000000004,0.155,5.691,1,2041,yes,NO
16,nopol_2,defects4j,Chart_9,54.358000000000004,20.741,8.825000000000001,0.248,13.866999999999999,1,1821,yes,NO
17,nopol_3,defects4j,Chart_9,53.602999999999994,20.65,8.793999999999999,0.149,13.766,1,1821,yes,NO
18,dynamoth_2,defects4j,Chart_9,221.945,20.466,189.07999999999998,0.821,6.787,5,1821,yes,NO
19,dynamoth_3,defects4j,Chart_9,0.0,0.0,11.0,0.0,0.0,2,0,0,NO
20,nopol_2,defects4j,Chart_13,59.85900000000001,19.494,16.443,0.218,13.593,1,1799,yes,NO
21,nopol_3,defects4j,Chart_13,61.686,19.477,16.997,0.149,14.625,1,1799,yes,NO
22,dynamoth_2,defects4j,Chart_13,37.159,19.284,7.1579999999999995,0.084,5.311,1,1799,yes,NO
23,dynamoth_3,defects4j,Chart_13,36.262,19.296,6.994999999999999,0.089,4.944000000000001,1,1799,yes,NO
24,dynamoth_2,defects4j,Chart_15,94.557,10.254000000000001,74.278,0.12,5.202,1,1790,yes,NO
25,dynamoth_3,defects4j,Chart_15,94.557,10.200000000000001,74.571,0.109,4.9879999999999995,1,1790,yes,NO
26,nopol_2,defects4j,Chart_17,30.421,13.946,2.258,0.214,6.465000000000001,1,1750,yes,NO
27,nopol_3,defects4j,Chart_17,29.29,13.968,2.1739999999999995,0.203,6.102,1,1750,yes,NO
28,dynamoth_2,defects4j,Chart_17,26.000999999999998,13.812999999999999,1.9530000000000003,0.21,5.292,1,1750,yes,NO
29,dynamoth_3,defects4j,Chart_17,25.153,13.801,1.8439999999999994,0.15,4.896000000000001,1,1750,yes,NO
30,nopol_2,defects4j,Chart_21,31.515,12.942,5.048000000000001,0.095,7.528,1,1655,yes,NO
31,nopol_3,defects4j,Chart_21,33.798,13.147,5.2829999999999995,0.097,6.823,1,1655,yes,NO
32,nopol_2,defects4j,Chart_25,29.451,12.283999999999999,3.7860000000000005,0.202,6.495,1,1625,yes,NO
33,nopol_3,defects4j,Chart_25,31.985999999999997,12.395999999999999,5.125,0.243,7.58,1,1625,yes,NO
34,dynamoth_2,defects4j,Chart_25,24.479,12.215,1.9820000000000002,0.146,5.318,1,1625,yes,NO
35,dynamoth_3,defects4j,Chart_25,24.463,12.203999999999999,2.019,0.14,5.177,1,1625,yes,NO
36,nopol_2,defects4j,Chart_26,2254.418,15.126999999999999,2182.1220000000003,0.904,47.778000000000006,1,1599,yes,NO
37,nopol_3,defects4j,Chart_26,2218.028,15.36,2156.581,0.54,34.316,1,1599,yes,NO
38,dynamoth_2,defects4j,Chart_26,65.712,14.674,41.012,0.174,5.417000000000001,1,1599,yes,NO
39,dynamoth_3,defects4j,Chart_26,65.775,14.676,41.307,0.209,4.898,1,1599,yes,NO
40,nopol_2,defects4j,Lang_7,58.724000000000004,21.294,12.508000000000003,0.086,19.790999999999997,1,2226,yes,NO
41,nopol_3,defects4j,Lang_7,60.64,21.247999999999998,14.451999999999998,0.111,20.560000000000002,1,2226,yes,NO
42,dynamoth_2,defects4j,Lang_7,43.297999999999995,21.275,2.6839999999999975,0.1,16.181,1,2226,yes,NO
43,dynamoth_3,defects4j,Lang_7,43.653000000000006,21.224,2.620000000000001,0.095,16.264,1,2226,yes,NO
44,dynamoth_2,defects4j,Lang_22,794.3340000000001,12.533,762.7620000000001,0.19,15.072999999999999,1,1819,yes,NO
45,dynamoth_3,defects4j,Lang_22,814.386,12.566,784.88,0.172,12.759,1,1819,yes,NO
46,nopol_2,defects4j,Lang_27,47.535,13.198,18.124,0.075,10.927,1,1779,yes,NO
47,nopol_3,defects4j,Lang_27,44.336,13.08,16.648,0.098,10.849,1,1779,yes,NO
48,dynamoth_2,defects4j,Lang_27,58.45099999999999,13.283000000000001,26.278999999999996,0.102,13.826,1,1779,yes,NO
49,dynamoth_3,defects4j,Lang_27,62.604,13.187000000000001,28.808,0.153,14.854000000000001,1,1779,yes,NO
50,nopol_2,defects4j,Lang_39,34.501000000000005,10.358,11.075000000000001,0.119,9.487,1,1618,yes,NO
51,nopol_3,defects4j,Lang_39,35.098,10.365,11.5,0.18,9.543,1,1618,yes,NO
52,dynamoth_2,defects4j,Lang_39,44.081,10.46,15.666999999999998,0.256,11.951,1,1618,yes,NO
53,dynamoth_3,defects4j,Lang_39,44.737,10.405000000000001,16.284000000000002,0.315,12.030999999999999,1,1618,yes,NO
54,nopol_2,defects4j,Lang_44,99.717,14.754,68.307,0.069,12.854000000000001,1,1868,yes,NO
55,nopol_3,defects4j,Lang_44,99.715,14.748,68.768,0.072,12.758,1,1868,yes,NO
56,nopol_2,defects4j,Lang_46,32.213,14.738,1.3149999999999995,0.16,12.617,1,1818,yes,NO
57,nopol_3,defects4j,Lang_46,32.008,14.777,1.2430000000000003,0.195,12.439,1,1818,yes,NO
58,dynamoth_2,defects4j,Lang_46,39.718,14.85,2.7880000000000003,0.221,16.302,1,1818,yes,NO
59,dynamoth_3,defects4j,Lang_46,39.05,14.815999999999999,2.6129999999999995,0.221,16.66,1,1818,yes,NO
60,simfix_1,defects4j,Lang_49,7275.030999999999,19.484,7.146999999999017,61.581999999999994,7206.302,27,298,0,YES
61,simfix_2,defects4j,Lang_49,1277.581999999999,19.484,7.146999999999017,64.884,1205.551,30,1768,0,YES
62,simfix_3,defects4j,Lang_49,72.03099999999901,19.484,7.146999999999017,64.884,0.0,0,0,0,YES
63,simfix_1,defects4j,Lang_50,1178.2489999999984,21.729000000000003,39.40099999999977,1041.1769999999988,97.671,235,2046,yes,YES
64,simfix_2,defects4j,Lang_50,1317.7789999999986,21.729000000000003,39.40099999999977,1041.1769999999988,237.20100000000002,235,2219,yes,YES
65,simfix_3,defects4j,Lang_50,1080.5779999999986,21.729000000000003,39.40099999999977,1041.1769999999988,0.0,0,0,yes,YES
66,nopol_2,defects4j,Lang_51,38.983999999999995,19.779999999999998,3.190999999999999,0.102,12.175,1,1714,yes,NO
67,nopol_3,defects4j,Lang_51,52.076,19.787,3.3320000000000007,0.086,25.43,1,1714,yes,NO
68,simfix_1,defects4j,Lang_51,1488.9079999999994,20.465,32.019999999999385,1247.4270000000004,209.46099999999979,861,2934,0,NO
69,simfix_2,defects4j,Lang_51,1462.129,20.465,32.019999999999385,1247.4270000000004,182.68200000000024,861,861,0,NO
70,simfix_3,defects4j,Lang_51,1279.4469999999997,20.465,32.019999999999385,1247.4270000000004,0.0,0,0,0,NO
71,dynamoth_2,defects4j,Lang_51,46.07,19.846,4.634,0.195,16.316,1,1714,yes,NO
72,dynamoth_3,defects4j,Lang_51,46.328,19.86,4.437000000000001,0.227,16.108,1,1714,yes,NO
73,nopol_2,defects4j,Lang_53,42.489,18.912,7.502999999999998,0.157,12.327,1,1707,yes,NO
74,nopol_3,defects4j,Lang_53,41.861,18.916,7.406000000000001,0.097,12.024,1,1707,yes,NO
75,simfix_1,defects4j,Lang_53,2809.0479999999948,19.4,41.13699999999842,1566.4599999999975,1201.4509999999989,660,11564,0,NO
76,simfix_2,defects4j,Lang_53,2097.7009999999964,19.4,41.13699999999842,1566.4599999999975,490.1040000000006,660,22838,0,NO
77,simfix_3,defects4j,Lang_53,1607.596999999996,19.4,41.13699999999842,1566.4599999999975,0.0,0,0,0,NO
78,tbar_1,defects4j,Lang_53,5694.4029999999975,18.98,21.036000000003387,3911.7869999999966,1761.5799999999977,4057,63310,0,NO
79,tbar_2,defects4j,Lang_53,5383.902000000001,18.98,21.036000000003387,3911.7869999999966,1451.0790000000009,4057,68885,0,NO
80,tbar_3,defects4j,Lang_53,3932.823,18.98,21.036000000003387,3911.7869999999966,0.0,0,0,0,NO
81,simfix_1,defects4j,Lang_54,2605.6110000000026,14.913,19.313999999999517,2328.1620000000034,258.1349999999999,1040,9981,0,NO
82,simfix_2,defects4j,Lang_54,2549.932000000003,14.913,19.313999999999517,2328.1620000000034,202.45599999999993,1040,1040,0,NO
83,simfix_3,defects4j,Lang_54,2347.476000000003,14.913,19.313999999999517,2328.1620000000034,0.0,0,0,0,NO
84,nopol_2,defects4j,Lang_55,96.70100000000001,22.752000000000002,58.356,0.096,12.127,1,1699,yes,NO
85,nopol_3,defects4j,Lang_55,96.794,22.752000000000002,58.528999999999996,0.106,12.083,1,1699,yes,NO
86,tbar_1,defects4j,Lang_55,7200.328000000008,22.947,5.825000000000635,1124.7400000000007,6069.763000000006,1183,8524,0,NO
87,tbar_2,defects4j,Lang_55,1669.6080000000013,22.947,5.825000000000635,1125.5850000000007,538.198,710,9200,yes,NO
88,tbar_3,defects4j,Lang_55,1131.4100000000014,22.947,5.825000000000635,1125.5850000000007,0.0,0,0,yes,NO
89,dynamoth_2,defects4j,Lang_55,105.47,22.844,60.444,0.115,16.700999999999997,1,1699,yes,NO
90,dynamoth_3,defects4j,Lang_55,104.24799999999999,22.771,60.741,0.126,15.504999999999999,1,1699,yes,NO
91,tbar_1,defects4j,Lang_56,1326.6659999999993,21.689999999999998,12.797999999999968,1112.5749999999994,201.2929999999999,626,10360,0,NO
92,tbar_2,defects4j,Lang_56,1384.2509999999988,21.689999999999998,12.797999999999968,1112.5749999999994,258.87799999999964,626,12379,0,NO
93,tbar_3,defects4j,Lang_56,1125.3729999999994,21.689999999999998,12.797999999999968,1112.5749999999994,0.0,0,0,0,NO
94,nopol_2,defects4j,Lang_58,43.542,17.846,3.733999999999998,0.292,16.479000000000003,1,1678,yes,NO
95,nopol_3,defects4j,Lang_58,37.745000000000005,17.686,2.008000000000001,0.33,12.745,1,1678,yes,NO
96,tbar_1,defects4j,Lang_58,697.5800000000004,17.866000000000003,10.196999999999939,593.6390000000004,93.7440000000001,467,5223,yes,NO
97,tbar_2,defects4j,Lang_58,926.2860000000001,17.866000000000003,10.196999999999939,593.6390000000004,322.4499999999997,467,28976,yes,NO
