,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory
0,nopol_1,defects4j,Time_1,67.9,12.113000000000001,51.005,0,0,0,0,0,NO
1,simfix_1,defects4j,Time_1,1134.8509999999987,12.124,60.81800000000026,1074.0329999999985,0.0,572,0,0,NO
2,simfix_2,defects4j,Time_1,1229.214999999999,12.124,60.81800000000026,1074.0329999999985,94.36400000000016,572,572,0,NO
3,simfix_3,defects4j,Time_1,8146.6320000000005,12.124,60.81800000000026,1073.3149999999985,7012.499000000002,572,2312024,0,NO
4,tbar_1,defects4j,Time_1,1173.7969999999996,12.174000000000001,14.525999999998596,1159.2710000000009,0.0,983,0,0,NO
5,tbar_2,defects4j,Time_1,1336.3419999999996,12.174000000000001,14.525999999998596,1159.2710000000009,162.54500000000024,960,960,0,NO
6,tbar_3,defects4j,Time_1,7203.075000000009,12.174000000000001,14.525999999998596,1145.1910000000007,6043.358000000009,983,3973286,0,NO
7,dynamoth_1,defects4j,Time_1,355.161,12.31,337.807,0,0,0,0,0,NO
8,nopol_1,defects4j,Time_2,40.365,10.789000000000001,25.187,0,0,0,0,0,NO
9,simfix_1,defects4j,Time_2,1121.7960000000019,10.746,60.93000000000032,1060.8660000000016,0.0,572,0,0,NO
10,simfix_2,defects4j,Time_2,1229.841000000002,10.746,60.93000000000032,1060.8660000000016,108.0450000000001,572,572,0,NO
11,simfix_3,defects4j,Time_2,8159.016000000005,10.746,60.93000000000032,1060.2220000000016,7037.864000000003,572,2312024,0,NO
12,tbar_1,defects4j,Time_2,1124.7290000000012,10.807,13.835000000000242,1110.894000000001,0.0,941,0,0,NO
13,tbar_2,defects4j,Time_2,1301.948000000001,10.807,13.835000000000242,1110.894000000001,177.21899999999985,919,919,0,NO
14,tbar_3,defects4j,Time_2,7201.764000000002,10.807,13.835000000000242,1110.1680000000008,6077.761000000001,941,3803522,0,NO
15,tbar_1,defects4j,Time_2,7200.587000000023,11.012,47.887999999999764,7152.699000000023,0.0,4325,0,0,NO
16,tbar_2,defects4j,Time_2,7208.578000000019,11.012,47.887999999999764,5953.83800000002,1206.8519999999992,3622,3622,0,NO
17,tbar_3,defects4j,Time_2,7200.587000000023,11.012,47.887999999999764,7152.699000000023,0.0,0,0,0,NO
18,dynamoth_1,defects4j,Time_2,38.160000000000004,10.575000000000001,23.927,0,0,0,0,0,NO
19,nopol_1,defects4j,Time_3,3450.35,13.664,3431.475,0,0,0,0,0,NO
20,simfix_1,defects4j,Time_3,1263.9059999999997,13.849,68.6710000000001,1195.2349999999997,0.0,572,0,0,NO
21,simfix_2,defects4j,Time_3,1392.7579999999994,13.849,68.6710000000001,1195.2349999999997,128.85199999999963,572,2860,0,NO
22,simfix_3,defects4j,Time_3,8706.257000000001,13.849,68.6710000000001,1194.4939999999997,7443.092000000001,572,2310308,0,NO
23,tbar_1,defects4j,Time_3,856.5310000000007,13.724,12.502999999999398,844.0280000000014,0.0,607,0,0,NO
24,tbar_2,defects4j,Time_3,1024.4790000000007,13.724,12.502999999999398,844.0280000000014,167.9479999999999,599,2995,0,NO
25,tbar_3,defects4j,Time_3,7211.441000000003,13.724,12.502999999999398,842.9970000000014,6355.9410000000025,607,2451673,0,NO
26,tbar_1,defects4j,Time_3,7200.723999999972,13.863,52.91300000000152,7147.810999999971,0.0,4751,0,0,NO
27,tbar_2,defects4j,Time_3,7208.483999999993,13.863,52.91300000000152,5851.0869999999895,1304.484000000002,3958,19790,0,NO
28,tbar_3,defects4j,Time_3,7200.723999999972,13.863,52.91300000000152,7147.810999999971,0.0,0,0,0,NO
29,dynamoth_1,defects4j,Time_3,0.0,0.0,68.0,0,0,0,0,0,NO
30,nopol_1,defects4j,Time_4,118.321,17.298000000000002,94.353,0,0,0,0,0,NO
31,simfix_1,defects4j,Time_4,1300.8609999999967,17.463,69.22299999999967,1231.637999999997,0.0,570,0,0,NO
32,simfix_2,defects4j,Time_4,1420.457999999997,17.463,69.22299999999967,1231.637999999997,119.59700000000015,570,570,0,NO
33,simfix_3,defects4j,Time_4,7873.971999999994,17.463,69.22299999999967,1230.973999999997,6573.774999999998,570,2288550,0,NO
34,tbar_1,defects4j,Time_4,982.6750000000015,17.097,12.73200000000051,969.943000000001,0.0,654,0,0,NO
35,tbar_2,defects4j,Time_4,1148.6000000000015,17.097,12.73200000000051,969.943000000001,165.92499999999998,640,640,0,NO
36,tbar_3,defects4j,Time_4,7200.667000000006,17.097,12.73200000000051,969.943000000001,6217.992000000004,654,2625810,0,NO
37,tbar_1,defects4j,Time_4,7199.314000000015,17.751,53.14000000000095,7146.174000000014,0.0,4524,0,0,NO
38,tbar_2,defects4j,Time_4,7210.410000000013,17.751,53.14000000000095,5952.635000000009,1204.6350000000018,3746,3746,0,NO
39,tbar_3,defects4j,Time_4,7199.314000000015,17.751,53.14000000000095,7146.174000000014,0.0,0,0,0,NO
40,dynamoth_1,defects4j,Time_4,448.471,17.304,423.133,0.319,1.113,1,28,yes,NO
41,nopol_1,defects4j,Time_5,5183.143,15.141,5161.868,0,0,0,0,0,NO
42,simfix_1,defects4j,Time_5,1384.0509999999988,15.312000000000001,68.4829999999991,1315.5679999999998,0.0,528,0,0,NO
43,simfix_2,defects4j,Time_5,1523.0179999999987,15.312000000000001,68.4829999999991,1315.5679999999998,138.96699999999987,524,1572,0,NO
44,simfix_3,defects4j,Time_5,7214.025999999998,15.312000000000001,68.4829999999991,1314.0509999999997,5831.491999999999,528,2119392,0,NO
45,tbar_1,defects4j,Time_5,602.9640000000009,15.9,15.071000000000552,587.8930000000003,0.0,187,0,0,NO
46,tbar_2,defects4j,Time_5,696.4400000000009,15.9,15.071000000000552,587.8930000000003,93.47600000000003,184,552,0,NO
47,tbar_3,defects4j,Time_5,7206.008000000001,15.9,15.071000000000552,587.1950000000003,6603.741999999999,187,750618,0,NO
48,tbar_1,defects4j,Time_5,7201.111999999976,15.496,48.004999999999264,7153.106999999977,0.0,4320,0,0,NO
49,tbar_2,defects4j,Time_5,7208.19899999998,15.496,48.004999999999264,5878.159999999981,1282.0339999999994,3540,10620,0,NO
50,tbar_3,defects4j,Time_5,7201.111999999976,15.496,48.004999999999264,7153.106999999977,0.0,0,0,0,NO
51,dynamoth_1,defects4j,Time_5,2960.239,15.816,2936.05,0,0,0,0,0,NO
52,nopol_1,defects4j,Time_6,0.0,0.0,28.0,0,0,0,0,0,NO
53,simfix_1,defects4j,Time_6,1338.5849999999996,13.896,51.70200000000054,1286.8829999999991,0.0,510,0,0,NO
54,simfix_2,defects4j,Time_6,1491.1569999999997,13.896,51.70200000000054,1286.8829999999991,152.57200000000006,494,2470,0,NO
55,simfix_3,defects4j,Time_6,7197.363000000004,13.896,51.70200000000054,1286.8829999999991,5858.778000000005,510,2039490,0,NO
56,tbar_1,defects4j,Time_6,1113.2559999999964,13.339,15.193999999996453,1098.062,0.0,784,0,0,NO
57,tbar_2,defects4j,Time_6,1302.171999999996,13.339,15.193999999996453,1098.062,188.91599999999963,762,3810,0,NO
58,tbar_3,defects4j,Time_6,7204.531999999997,13.339,15.193999999996453,1097.234,6092.104,784,3135216,0,NO
59,tbar_1,defects4j,Time_6,7199.496000000004,13.467,49.126000000000644,7150.3700000000035,0.0,4339,0,0,NO
60,tbar_2,defects4j,Time_6,7208.846999999992,13.467,49.126000000000644,5837.017999999991,1322.703,3604,18020,0,NO
61,tbar_3,defects4j,Time_6,7199.496000000004,13.467,49.126000000000644,7150.3700000000035,0.0,0,0,0,NO
62,dynamoth_1,defects4j,Time_6,0.0,0.0,25.0,0,0,0,0,0,NO
63,nopol_1,defects4j,Time_7,0.0,0.0,198.0,0,0,0,0,0,NO
64,simfix_1,defects4j,Time_7,1385.696000000003,13.556999999999999,50.435000000001985,1335.261000000001,0.0,489,0,0,NO
65,simfix_2,defects4j,Time_7,1525.9310000000032,13.556999999999999,50.435000000001985,1335.261000000001,140.235,474,948,0,NO
66,simfix_3,defects4j,Time_7,7194.172000000007,13.556999999999999,50.435000000001985,1335.261000000001,5808.476000000003,489,1946709,0,NO
67,tbar_1,defects4j,Time_7,767.1579999999983,13.094999999999999,11.698999999999028,755.4589999999993,0.0,447,0,0,NO
68,tbar_2,defects4j,Time_7,911.7309999999984,13.094999999999999,11.698999999999028,755.4589999999993,144.57300000000006,443,886,0,NO
69,tbar_3,defects4j,Time_7,7212.9069999999965,13.094999999999999,11.698999999999028,754.3059999999992,6446.901999999998,447,1779507,0,NO
70,tbar_1,defects4j,Time_7,7199.557000000017,13.457999999999998,52.09199999999794,7147.465000000019,0.0,4295,0,0,NO
71,tbar_2,defects4j,Time_7,7405.58,13.457999999999998,52.09199999999794,4066.9090000000024,3286.5789999999997,2326,4652,0,NO
72,tbar_3,defects4j,Time_7,7199.557000000017,13.457999999999998,52.09199999999794,7147.465000000019,0.0,0,0,0,NO
73,dynamoth_1,defects4j,Time_7,0.0,0.0,133.0,0,0,0,0,0,NO
74,nopol_1,defects4j,Time_8,238.208,20.491999999999997,208.538,0,0,0,0,0,NO
75,simfix_1,defects4j,Time_8,1896.0260000000005,20.439,81.53100000000082,1431.2079999999996,383.28700000000003,548,79842,0,NO
76,simfix_2,defects4j,Time_8,1631.0930000000005,20.439,81.53100000000082,1431.2079999999996,118.3540000000001,570,570,0,NO
77,simfix_3,defects4j,Time_8,8827.416000000007,20.439,81.53100000000082,1430.4149999999997,7315.470000000007,570,2263470,0,NO
78,tbar_1,defects4j,Time_8,920.666000000001,20.108,13.693000000000147,880.1950000000008,26.778000000000002,551,5271,0,NO
79,tbar_2,defects4j,Time_8,1017.8730000000011,20.108,13.693000000000147,880.1950000000008,123.98500000000008,540,540,0,NO
80,tbar_3,defects4j,Time_8,7206.428999999998,20.108,13.693000000000147,879.4260000000008,6313.309999999998,554,2199934,0,NO
