,apr_folder,repair_time
0,tbar_0,0 days 03:46:06
1,simfix_0,0 days 03:47:18
2,nopol_1,0 days 00:15:02
3,tbar_1,0 days 02:34:04
4,simfix_2,0 days 05:05:45
5,dynamoth_1,0 days 00:04:03
6,tbar_1,0 days 00:00:11
7,tbar_2,0 days 06:15:25
8,simfix_2,0 days 00:01:26
9,tbar_1,0 days 02:26:30
10,tbar_0,0 days 00:12:24
11,simfix_0,0 days 00:00:43
12,nopol_1,0 days 00:01:33
13,dynamoth_1,0 days 00:00:14
14,tbar_0,0 days 00:10:02
15,simfix_0,0 days 00:15:01
16,nopol_1,0 days 00:01:08
17,dynamoth_1,0 days 00:00:09
18,tbar_0,0 days 02:03:34
19,simfix_0,0 days 01:03:47
20,nopol_1,0 days 00:01:27
21,tbar_1,0 days 01:23:15
22,dynamoth_1,0 days 00:00:20
23,tbar_1,0 days 02:45:28
24,tbar_1,0 days 03:26:12
25,tbar_1,0 days 02:13:00
26,tbar_0,0 days 02:01:56
27,simfix_0,0 days 01:05:14
28,nopol_1,0 days 00:01:17
29,tbar_1,0 days 00:32:18
30,dynamoth_1,0 days 00:00:07
31,tbar_1,0 days 03:00:09
32,tbar_1,0 days 03:10:42
33,tbar_0,0 days 02:05:58
34,simfix_0,0 days 02:12:57
35,nopol_1,0 days 00:12:00
36,tbar_1,0 days 03:28:25
37,simfix_2,0 days 05:03:13
38,dynamoth_1,0 days 02:18:57
39,tbar_1,0 days 02:39:02
40,tbar_0,0 days 02:02:43
41,simfix_0,0 days 02:02:56
42,nopol_1,0 days 00:01:21
43,tbar_1,0 days 02:19:12
44,simfix_2,0 days 04:38:16
45,dynamoth_1,0 days 00:00:41
46,nopol_1,0 days 00:53:44
47,simfix_2,0 days 02:51:44
48,dynamoth_1,0 days 00:10:18
49,tbar_2,0 days 05:13:14
50,tbar_0,0 days 02:03:47
51,simfix_0,0 days 02:49:20
52,nopol_1,0 days 00:18:14
53,tbar_1,0 days 02:22:59
54,simfix_2,0 days 05:08:48
55,dynamoth_1,0 days 02:17:18
56,tbar_1,0 days 02:37:27
57,tbar_1,0 days 03:47:30
58,tbar_0,0 days 02:03:12
59,simfix_0,0 days 02:35:11
60,nopol_1,0 days 00:17:41
61,tbar_1,0 days 03:16:11
62,dynamoth_1,0 days 02:21:06
63,tbar_0,0 days 02:07:23
64,simfix_0,0 days 03:03:14
65,nopol_1,0 days 00:08:58
66,tbar_1,0 days 03:00:12
67,dynamoth_1,0 days 00:03:46
68,tbar_0,0 days 02:03:34
69,simfix_0,0 days 02:31:18
70,nopol_1,0 days 00:00:56
71,tbar_1,0 days 03:11:24
72,dynamoth_1,0 days 00:00:17
73,tbar_0,0 days 02:03:41
74,simfix_0,0 days 02:31:07
75,nopol_1,0 days 00:14:41
76,tbar_1,0 days 02:25:15
77,dynamoth_1,0 days 02:17:07
78,nopol_1,0 days 00:04:02
79,simfix_2,0 days 03:30:18
80,dynamoth_1,0 days 00:01:01
81,tbar_2,0 days 05:04:53
82,tbar_0,0 days 02:02:59
83,simfix_0,0 days 02:09:00
84,nopol_1,0 days 00:03:14
85,tbar_1,0 days 01:33:58
86,dynamoth_1,0 days 00:00:27
87,tbar_1,0 days 04:01:24
88,tbar_2,0 days 06:00:19
89,tbar_1,0 days 03:35:55
90,tbar_1,0 days 02:38:53
91,tbar_1,0 days 04:02:36
92,tbar_2,0 days 05:37:35
93,tbar_0,0 days 02:10:01
94,simfix_0,0 days 00:49:53
95,nopol_1,0 days 00:02:07
96,tbar_1,0 days 01:00:15
97,dynamoth_1,0 days 00:00:29
98,tbar_0,0 days 00:07:13
99,simfix_0,0 days 00:31:14
100,nopol_1,0 days 00:01:05
101,dynamoth_1,0 days 00:00:12
102,nopol_1,0 days 00:14:12
103,simfix_2,0 days 01:11:13
104,dynamoth_1,0 days 00:09:55
105,tbar_2,0 days 05:22:05
106,tbar_0,0 days 02:03:19
107,simfix_0,0 days 02:02:43
108,nopol_1,0 days 00:53:47
109,tbar_1,0 days 02:22:29
110,simfix_2,0 days 04:15:52
111,dynamoth_1,0 days 03:06:34
112,tbar_1,0 days 04:01:12
113,tbar_2,0 days 06:00:17
114,dynamoth_2,0 days 01:40:12
115,dynamoth_1,0 days 02:00:06
116,tbar_2,0 days 06:01:00
117,dynamoth_3,0 days 02:00:07
118,tbar_0,0 days 02:03:09
119,simfix_0,0 days 03:33:57
120,nopol_1,0 days 00:05:34
121,tbar_1,0 days 03:24:53
122,simfix_2,0 days 06:00:19
123,dynamoth_1,0 days 02:03:47
124,tbar_0,0 days 02:04:28
125,simfix_0,0 days 02:03:15
126,nopol_1,0 days 00:01:12
127,tbar_1,0 days 01:59:10
128,dynamoth_1,0 days 00:00:18
129,tbar_0,0 days 00:28:26
130,simfix_0,0 days 00:02:39
131,nopol_1,0 days 00:01:27
132,dynamoth_1,0 days 00:00:10
133,tbar_2,0 days 06:01:07
134,tbar_1,0 days 02:32:37
135,tbar_0,0 days 02:03:05
136,simfix_0,0 days 02:27:27
137,nopol_1,0 days 00:58:13
138,tbar_1,0 days 02:22:07
139,simfix_2,0 days 05:17:55
140,dynamoth_1,0 days 00:34:19
141,tbar_2,0 days 06:01:15
142,tbar_1,0 days 03:33:46
143,tbar_0,0 days 02:08:09
144,simfix_0,0 days 06:00:03
145,nopol_1,0 days 01:13:52
146,tbar_1,0 days 04:59:02
147,dynamoth_1,0 days 00:22:59
148,tbar_0,0 days 02:04:53
149,simfix_0,0 days 02:06:17
150,nopol_1,0 days 00:01:48
151,tbar_1,0 days 01:09:03
152,dynamoth_1,0 days 00:00:12
153,tbar_0,0 days 02:01:39
154,simfix_0,0 days 02:00:50
155,nopol_1,0 days 00:01:45
156,tbar_1,0 days 01:06:43
157,dynamoth_1,0 days 00:00:11
158,tbar_0,0 days 01:39:39
159,simfix_0,0 days 00:47:51
160,nopol_1,0 days 00:00:58
161,dynamoth_1,0 days 00:00:12
162,tbar_0,0 days 00:34:25
163,simfix_0,0 days 01:39:41
164,nopol_1,0 days 00:04:40
165,dynamoth_1,0 days 00:00:54
166,tbar_0,0 days 02:14:00
167,simfix_0,0 days 01:17:57
168,nopol_1,0 days 00:08:08
169,tbar_1,0 days 02:29:11
170,dynamoth_1,0 days 02:07:37
